a2ps 4.15.8-1
sudo 1.9.17.p2-6.1
swaybg 1.2.2-1.1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
systemd-boot-manager 19-2
telegram-desktop 7.0.1-1.1
texinfo 7.3-1.1
timeshift 25.12.4-1.2
timeshift-autosnap 0.10.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.4.0-2
ttf-ubuntu-nerd 3.4.0-2
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.7-1.1
unzip 6.0-23.1
upower 1.91.3-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
visual-studio-code-bin 1.129.1-1
vpl-gpu-rt 26.1.5-1.1
vulkan-icd-loader 1.4.350.1-1.1
vulkan-intel 3:26.1.5-1
walker 2.16.2-1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
wl-screenrec-git r355.0925290-1
wpa_supplicant 2:2.11-5.1
wtype 0.4-2.2
xdg-desktop-portal-gnome 50.0-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-desktop-portal-hyprland 1.3.12-2.1
xdg-user-dirs 0.20-1.1
xdg-utils 1.2.1-2
xorg-xwayland 24.1.13-1.1
